project,organism,file_source,project_home,project_type,n_samples
SRP106712,human,sra,data_sources/sra,data_sources,6
SRP148412,human,sra,data_sources/sra,data_sources,8
ERP112912,human,sra,data_sources/sra,data_sources,14
SRP086612,human,sra,data_sources/sra,data_sources,32
SRP185512,human,sra,data_sources/sra,data_sources,36
ERP112312,human,sra,data_sources/sra,data_sources,6
SRP144212,human,sra,data_sources/sra,data_sources,56
SRP119312,human,sra,data_sources/sra,data_sources,60
ERP105312,human,sra,data_sources/sra,data_sources,15
SRP018312,human,sra,data_sources/sra,data_sources,2
SRP218612,human,sra,data_sources/sra,data_sources,6
SRP021912,human,sra,data_sources/sra,data_sources,6
SRP059712,human,sra,data_sources/sra,data_sources,6
SRP076712,human,sra,data_sources/sra,data_sources,12
SRP068912,human,sra,data_sources/sra,data_sources,8
SRP126212,human,sra,data_sources/sra,data_sources,13
SRP159512,human,sra,data_sources/sra,data_sources,6
SRP156312,human,sra,data_sources/sra,data_sources,6
SRP216012,human,sra,data_sources/sra,data_sources,36
SRP159412,human,sra,data_sources/sra,data_sources,4
SRP069212,human,sra,data_sources/sra,data_sources,282
SRP028612,human,sra,data_sources/sra,data_sources,12
SRP221712,human,sra,data_sources/sra,data_sources,8
SRP120012,human,sra,data_sources/sra,data_sources,2
ERP114912,human,sra,data_sources/sra,data_sources,8
SRP131312,human,sra,data_sources/sra,data_sources,4
SRP035312,human,sra,data_sources/sra,data_sources,15
SRP212318,human,sra,data_sources/sra,data_sources,20
SRP104418,human,sra,data_sources/sra,data_sources,23
SRP134018,human,sra,data_sources/sra,data_sources,43
SRP021918,human,sra,data_sources/sra,data_sources,3
DRP005118,human,sra,data_sources/sra,data_sources,6
SRP068318,human,sra,data_sources/sra,data_sources,4
SRP195418,human,sra,data_sources/sra,data_sources,34
SRP045318,human,sra,data_sources/sra,data_sources,4
SRP127318,human,sra,data_sources/sra,data_sources,42
SRP018218,human,sra,data_sources/sra,data_sources,26
SRP109318,human,sra,data_sources/sra,data_sources,75
SRP057118,human,sra,data_sources/sra,data_sources,6
SRP064418,human,sra,data_sources/sra,data_sources,22
SRP140918,human,sra,data_sources/sra,data_sources,9
SRP157918,human,sra,data_sources/sra,data_sources,8
SRP113518,human,sra,data_sources/sra,data_sources,6
SRP120018,human,sra,data_sources/sra,data_sources,12
SRP131318,human,sra,data_sources/sra,data_sources,22
SRP141118,human,sra,data_sources/sra,data_sources,20
SRP079918,human,sra,data_sources/sra,data_sources,4
SRP042218,human,sra,data_sources/sra,data_sources,2
SRP119818,human,sra,data_sources/sra,data_sources,2
SRP069018,human,sra,data_sources/sra,data_sources,15
SRP082518,human,sra,data_sources/sra,data_sources,4
SRP109118,human,sra,data_sources/sra,data_sources,48
SRP149518,human,sra,data_sources/sra,data_sources,9
SRP045118,human,sra,data_sources/sra,data_sources,16
SRP215318,human,sra,data_sources/sra,data_sources,9
ERP110318,human,sra,data_sources/sra,data_sources,8
ERP104818,human,sra,data_sources/sra,data_sources,96
SRP112718,human,sra,data_sources/sra,data_sources,38
SRP132018,human,sra,data_sources/sra,data_sources,56
SRP168818,human,sra,data_sources/sra,data_sources,2
SRP101418,human,sra,data_sources/sra,data_sources,42
SRP055918,human,sra,data_sources/sra,data_sources,80
ERP017318,human,sra,data_sources/sra,data_sources,753
SRP067618,human,sra,data_sources/sra,data_sources,145
SRP114518,human,sra,data_sources/sra,data_sources,91
SRP119318,human,sra,data_sources/sra,data_sources,6
SRP059518,human,sra,data_sources/sra,data_sources,23
SRP074418,human,sra,data_sources/sra,data_sources,8
SRP109018,human,sra,data_sources/sra,data_sources,21
SRP082418,human,sra,data_sources/sra,data_sources,6
SRP008218,human,sra,data_sources/sra,data_sources,20
SRP152218,human,sra,data_sources/sra,data_sources,8
SRP212118,human,sra,data_sources/sra,data_sources,4
SRP051118,human,sra,data_sources/sra,data_sources,5
SRP128918,human,sra,data_sources/sra,data_sources,20
SRP051518,human,sra,data_sources/sra,data_sources,15
